Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface
61.0,94.0,6.0,50.0,50.0,50.0,85.3,1.0,7.761,2.0159999999999996,33.43000000000001,19.099999999999998,54.10000000000001
61.0,95.0,5.0,45.0,50.0,50.0,92.6,1.0,5.6819999999999995,2.13,35.660000000000004,15.41,59.379999999999995
61.0,95.0,5.0,46.0,50.0,50.0,91.3,1.0,5.6259999999999994,2.1100000000000003,35.95,15.559999999999999,59.0
61.0,95.0,5.0,47.0,50.0,50.0,90.0,1.0,5.7589999999999995,2.103,35.32,15.95,58.7
61.0,95.0,5.0,48.0,50.0,50.0,88.7,1.0,6.238999999999999,2.057,35.09,15.980000000000004,57.0
61.0,95.0,5.0,49.0,50.0,50.0,87.5,1.0,6.392,2.047,34.1,16.47,56.7
61.0,95.0,5.0,50.0,50.0,50.0,86.2,1.0,6.507,2.0479999999999996,36.17,16.169999999999998,56.39999999999999
61.0,96.0,4.0,45.0,50.0,50.0,93.4,1.0,4.86,2.1640000000000006,35.5,13.1,61.720000000000006
61.0,96.0,4.0,46.0,50.0,50.0,92.2,1.0,4.943,2.146,36.67,12.78,61.39999999999999
61.0,96.0,4.0,47.0,50.0,50.0,90.9,1.0,5.286,2.0949999999999998,36.5,13.09,59.60000000000001
61.0,96.0,4.0,48.0,50.0,50.0,89.6,1.0,5.340999999999999,2.084,36.3,13.2,59.3
61.0,96.0,4.0,49.0,50.0,50.0,88.3,1.0,5.392,2.073,35.589999999999996,13.790000000000001,59.0
61.0,96.0,4.0,50.0,50.0,50.0,87.0,1.0,5.524000000000001,2.0700000000000003,36.529999999999994,13.839999999999998,58.7
71.0,93.0,7.0,45.0,50.0,50.0,91.9,1.0,6.774999999999999,2.128,31.4,20.630000000000003,57.21
71.0,93.0,7.0,46.0,50.0,50.0,90.6,1.0,6.817,2.11,31.459999999999997,20.709999999999997,56.98
71.0,93.0,7.0,47.0,50.0,50.0,89.4,1.0,7.027000000000001,2.099,31.400000000000006,20.9,56.7
71.0,93.0,7.0,48.0,50.0,50.0,88.2,1.0,7.1129999999999995,2.097,32.99,19.830000000000005,56.459999999999994
71.0,93.0,7.0,49.0,50.0,50.0,87.0,1.0,7.261,2.0949999999999998,30.04,20.57,56.2
71.0,93.0,7.0,50.0,50.0,50.0,85.8,1.0,7.822,2.04,31.740000000000002,20.85,54.63000000000001
71.0,94.0,6.0,45.0,50.0,50.0,92.7,1.0,5.901000000000001,2.16,33.06,17.78,59.5
71.0,94.0,6.0,46.0,50.0,50.0,91.5,1.0,5.909999999999999,2.152,31.790000000000003,18.07,59.279999999999994
71.0,94.0,6.0,47.0,50.0,50.0,90.3,1.0,5.992999999999999,2.1409999999999996,33.48,18.220000000000002,59.0
71.0,94.0,6.0,48.0,50.0,50.0,89.1,1.0,6.122000000000002,2.142,33.510000000000005,18.380000000000003,58.779999999999994
